accession	initial_occurrences	passed_crabs	final_retained	manually_discarded	current_status
EU880335.1	1		1	0	retained_final_dataset
EU880336.1	1		1	0	retained_final_dataset
EU880339.1	1		1	0	retained_final_dataset
EU938400.1	1		1	0	retained_final_dataset
FJ595204.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ595205.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ595206.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ595207.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ595208.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602088.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602089.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602090.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602091.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602092.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602093.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602094.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602095.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602096.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602097.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602098.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602099.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602100.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602101.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602102.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602103.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602104.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602105.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602106.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602107.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602108.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602109.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602110.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602111.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602112.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602113.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602114.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602115.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602116.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602117.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602118.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602119.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602120.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602121.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602122.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602123.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602124.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602125.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602126.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602127.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602128.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602129.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602130.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602131.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602132.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602133.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602134.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602135.1	1		0	0	not_retained_stage_unresolved_without_415_list
